StockCode,index
21524,715
21955,1054
22365,1401
22366,1402
22660,1673
22687,1700
22688,1701
22689,1702
22690,1703
22691,1704
21523,714
48188,2141
20685,149
22692,1705
48187,2140
48185,2139
48111,2133
48138,2136
48173c,2137
20682,147
15056n,20
20679,145
15056p,21
15056bl,19
adjust,3054
test001,3060
21741,890
20966,295
51014a,2148
84558a,2453
22697,1710
22534,1553
22530,1549
22423,1449
22422,1448
22418,1444
20712,166
20716,169
20719,172
22331,1368
21976,1060
20985,314
21144,423
21372,596
21578,754
21579,755
84625d,2495
21739,888
22245,1284
22244,1283
22196,1246
22045,1099
84625c,2494
47599a,2131
47594a,2127
22698,1711
51014c,2149
51014l,2150
72819,2249
47559b,2099
35471d,1950
22709,1722
22699,1712
84625a,2492
84991,2709
84992,2710
post,3059
21787,924
21498,702
22379,1411
22353,1389
22350,1387
22136,1189
22131,1184
22080,1134
22072,1126
22064,1118
22059,1113
22052,1106
22048,1102
21947,1051
21874,989
21843,971
21700,853
21588,762
21537,726
21535,724
21533,722
21531,720
22414,1440
22441,1467
22442,1468
22557,1574
84050,2350
84078a,2353
16156s,42
48189,2142
21086,381
48184,2138
48129,2135
47502,2083
37330,2008
22558,1575
22554,1571
22553,1570
22487,1509
22555,1572
21218,482
21231,491
21232,492
21361,590
82484,2306
20747,187
20914,278
21121,405
21166,440
82583,2318
21175,447
22668,1681
85152,2871
72140f,2184
84535b,2448
47580,2112
47570b,2107
47567b,2104
22635,1651
22634,1650
22956,1910
35598b,1952
37447,2022
37450,2025
37500,2041
37501,2042
22071,1125
47556b,2098
22417,1443
22551,1569
22613,1629
22645,1661
22851,1846
22951,1906
22949,1904
22938,1893
22712,1725
22708,1721
22364,1400
22416,1442
47599b,2132
22029,1083
15060b,25
16161p,45
21135,419
21211,475
21213,477
21506,707
21972,1056
21974,1058
84987,2704
21975,1059
21497,701
22381,1413
21509,710
22407,1433
22406,1432
22405,1431
22399,1427
22396,1425
22398,1426
22400,1428
22402,1429
22377,1409
22403,1430
22378,1410
22631,1647
22817,1819
22815,1817
21508,709
21507,708
22781,1788
22376,1408
22375,1407
22374,1406
22372,1405
22371,1404
21519,712
22409,1435
21556,744
22632,1648
22633,1649
22629,1645
22109,1163
22107,1161
22037,1091
22030,1084
22028,1082
22027,1081
22471,1494
22467,1490
22444,1470
22443,1469
22026,1080
22025,1079
22410,1436
22333,1370
22024,1078
22408,1434
21877,992
21871,986
22352,1388
22329,1366
22666,1679
20963,294
20961,293
21258,512
22242,1281
22243,1282
22311,1348
10002,0
22667,1680
22665,1678
22328,1365
22113,1167
21452,663
21479,688
21481,690
21484,692
21485,693
21488,695
22649,1664
22659,1672
85014b,2721
85014a,2720
21068,370
21069,371
21070,372
21071,373
22327,1364
22326,1363
22318,1355
22314,1351
22313,1350
22312,1349
22644,1660
84884a,2629
22646,1662
22834,1831
22835,1832
22730,1738
22729,1737
22728,1736
22727,1735
22726,1734
22725,1733
22719,1732
22718,1731
22112,1166
22717,1730
22716,1729
22714,1727
22693,1706
22630,1646
22110,1164
22890,1856
22892,1858
22983,1927
22192,1242
22193,1243
37370,2012
48194,2143
22866,1854
72741,2200
84029e,2342
84029g,2343
84031a,2345
84031b,2346
84032a,2347
84032b,2348
84212,2358
22867,1855
22865,1853
22841,1837
22111,1165
22837,1833
22191,1241
22839,1835
22840,1836
22838,1834
22842,1838
22843,1839
22844,1840
22845,1841
22114,1168
85215,2942
20857,251
20654,124
85216,2943
85217,2944
21637,796
20863,254
20856,250
20855,249
20778,218
20777,217
22411,1437
20776,216
20659,128
20657,126
20655,125
22067,1121
22061,1115
21482,691
37448,2023
37449,2024
37503,2044
48116,2134
85014d,2723
22172,1222
22430,1456
21527,716
82551,2310
22624,1640
22451,1477
35004c,1935
22429,1455
22626,1642
22427,1453
22625,1641
82605,2324
35001g,1932
21864,979
22428,1454
22425,1451
22424,1450
22426,1452
21931,1039
22359,1395
22485,1507
22476,1499
22483,1506
22505,1526
22507,1527
22508,1528
22568,1585
22453,1479
22450,1476
22447,1473
22495,1516
21754,900
21770,913
22212,1260
22073,1127
22348,1385
22357,1393
22413,1439
22497,1518
22358,1394
22500,1521
85099b,2816
84849b,2606
22047,1101
84520b,2436
84520d,2437
22051,1105
22222,1269
85114c,2830
82552,2311
84509b,2426
84926c,2654
85053,2783
85055,2785
85150,2870
20750,190
21181,449
21300,545
21462,672
21752,899
72760b,2211
21136,420
22215,1262
22084,1138
21155,429
20818,234
20819,235
21164,438
22218,1265
21134,418
85232b,2961
21080,377
22809,1811
22738,1746
20977,306
22810,1812
22751,1759
20978,307
20979,308
21986,1068
22736,1744
22715,1728
21094,387
21982,1064
21124,408
21122,406
22332,1369
22893,1859
22819,1821
22940,1895
22750,1758
22749,1757
90098,2984
22273,1311
22271,1309
22042,1096
22274,1312
22334,1371
22434,1460
84247l,2368
17107d,95
84247g,2365
22614,1630
22564,1581
21058,360
21060,362
16033,33
22492,1513
21989,1071
22556,1573
22562,1579
22272,1310
22247,1286
84455,2404
20725,175
22383,1415
21936,1044
20728,178
21559,747
21561,748
22531,1550
22588,1605
22609,1625
22706,1719
22707,1720
62094b,2154
22742,1750
47594b,2128
71270,2165
84879,2625
85226a,2948
22445,1471
21499,703
21432,650
21212,476
21156,430
21062,364
21056,359
21055,358
21042,354
20975,304
22382,1414
20726,176
20703,161
20702,160
20665,134
11001,10
10123c,2
21503,705
20973,302
22367,1403
22320,1357
22317,1354
21672,829
21671,828
21935,1043
21883,998
21880,995
21879,994
21731,880
21673,830
21670,827
22254,1293
22255,1294
22264,1302
21717,867
22253,1292
22232,1277
22062,1116
21348,578
22056,1110
22066,1120
22137,1190
22070,1124
22060,1114
22055,1109
22054,1108
21292,540
21110,398
20960,292
21291,539
21107,395
21216,480
21288,537
20780,219
20781,220
20782,221
20783,222
84279b,2376
84279p,2377
47421,2077
47481,2082
85197,2925
84597c,2481
84597b,2480
21153,427
21077,375
20724,174
20718,171
21241,496
21238,493
85099c,2817
22617,1633
21217,481
22138,1191
22519,1539
20676,143
22520,1540
20675,142
20677,144
22521,1541
21242,497
84997d,2716
21243,498
21244,499
21914,1025
21915,1026
21240,495
22384,1416
22524,1544
22525,1545
22559,1576
84828,2593
84997b,2714
84997c,2715
22385,1417
22386,1418
22431,1457
22432,1458
22518,1538
21239,494
21394,617
21577,753
79000,2257
21716,866
21967,1055
21917,1028
21715,865
15044a,15
20666,135
15044c,17
15044b,16
21888,1000
22134,1187
22303,1340
22302,1339
21137,421
22174,1224
22347,1384
82600,2323
84596g,2476
22195,1245
22181,1231
21913,1024
21912,1023
84692,2531
84596j,2477
22132,1185
22133,1186
20983,312
20674,141
21246,501
22354,1390
21284,533
21746,895
21680,836
21431,649
21430,648
21429,647
21428,646
21426,644
21980,1062
21981,1063
22472,1495
22473,1496
22276,1314
22628,1644
22615,1631
20681,146
84997a,2713
22362,1398
22361,1397
22503,1524
22363,1399
22360,1396
22454,1480
22504,1525
22380,1412
22356,1392
21424,642
21937,1045
22088,1142
22090,1144
22275,1313
22278,1316
22355,1391
20713,167
20723,173
21210,474
85099f,2818
21285,534
21286,535
22094,1148
21749,897
22325,1362
84509a,2425
21039,351
22902,1867
22847,1843
22846,1842
22663,1676
22661,1674
20711,165
22179,1229
22199,1249
22203,1253
22433,1459
22468,1491
21889,1001
21563,750
21576,752
22201,1251
22145,1197
35832,1972
22612,1628
84978,2696
71459,2169
47590a,2117
22204,1254
22308,1345
22309,1346
22340,1377
47590b,2118
22089,1143
21625,784
21652,810
22086,1140
21123,407
21268,519
22622,1638
84674,2516
22623,1639
22231,1276
16169k,51
22233,1278
21791,928
21890,1002
82482,2304
22522,1542
84792,2564
85049h,2782
85049f,2780
85049d,2778
85049c,2777
85049b,2776
22523,1543
22561,1578
72728,2198
22509,1529
22449,1475
22346,1383
22345,1382
